date,open,close,high,low,volume,amount
2024-12-20,47.61,47.34,47.95,47.24,461965.0,2186942310.0
2024-12-23,47.34,47.82,48.2,47.34,555505.0,2656424910.0
2024-12-24,47.8,48.5,48.55,47.72,495609.0,2403703650.0
2024-12-25,48.53,48.62,49.03,48.29,417399.0,2029393938.0
2024-12-26,48.61,48.17,48.66,48.08,379222.0,1826712374.0
2024-12-27,48.17,47.99,48.47,47.43,537757.0,2580695843.0
2024-12-30,47.94,48.62,48.62,47.93,533438.0,2593575556.0
2024-12-31,48.51,47.37,48.74,47.37,677118.0,3207507966.0
2025-01-02,47.42,45.43,47.45,45.11,948579.0,4309394397.0
2025-01-03,45.72,45.02,45.81,44.8,551352.0,2482186704.0
2025-01-06,45.27,45.06,45.34,44.55,413490.0,1863185940.0
2025-01-07,44.91,44.89,45.08,44.53,392787.0,1763220843.0
2025-01-08,44.9,45.02,45.3,44.27,510383.0,2297744266.0
2025-01-09,44.98,44.53,45.13,44.52,400821.0,1784855913.0
2025-01-10,44.54,43.67,44.8,43.62,522704.0,2282648368.0
2025-01-13,43.2,43.31,43.52,42.82,511393.0,2214843083.0
2025-01-14,43.31,44.08,44.3,43.22,615774.0,2714331792.0
2025-01-15,43.97,43.83,44.38,43.63,458029.0,2007541107.0
2025-01-16,44.02,43.97,44.47,43.65,415761.0,1828101117.0
2025-01-17,43.82,44.1,44.29,43.49,460747.0,2031894270.0
2025-01-20,44.44,44.53,45.02,44.38,491736.0,2189700408.0
2025-01-21,44.92,44.62,45.11,44.38,409951.0,1829201362.0
2025-01-22,44.44,43.67,44.64,43.57,530780.0,2317916260.0
2025-01-23,44.54,45.09,46.17,44.5,969105.0,4369694445.0
2025-01-24,44.9,45.58,46.09,44.82,616779.0,2811278682.0
2025-01-27,45.75,45.57,46.34,45.53,524547.0,2390360679.0
2025-02-05,45.7,44.44,45.72,44.39,583072.0,2591171968.0
2025-02-06,44.45,44.97,45.22,44.4,415037.0,1866421389.0
2025-02-07,44.9,45.6,46.16,44.56,725812.0,3309702720.0
2025-02-10,45.61,45.62,46.08,45.52,431815.0,1969940030.0
2025-02-11,45.92,45.24,45.96,45.09,381844.0,1727462256.0
2025-02-12,45.24,45.8,45.84,44.9,446994.0,2047232520.0
2025-02-13,45.64,45.74,46.5,45.53,590363.0,2700320362.0
2025-02-14,45.71,46.42,46.58,45.52,599772.0,2784141624.0
2025-02-17,46.55,46.56,47.1,46.13,625710.0,2913305760.0
2025-02-18,46.39,46.03,46.9,45.92,650082.0,2992327446.0
2025-02-19,45.91,46.17,46.55,45.74,464426.0,2144254842.0
2025-02-20,45.95,45.5,46.03,45.38,515385.0,2345001750.0
2025-02-21,45.71,45.92,46.22,45.18,668761.0,3070950512.0
2025-02-24,45.92,46.72,47.2,45.77,835823.0,3904965056.0
2025-02-25,46.22,45.7,46.82,45.57,642429.0,2935900530.0
2025-02-26,45.82,46.34,46.5,45.75,536578.0,2486502452.0
2025-02-27,46.5,46.34,46.52,45.84,547240.0,2535910160.0
2025-02-28,46.12,45.1,46.37,45.1,805268.0,3631758680.0
2025-03-03,45.27,45.05,45.54,44.78,423161.0,1906340305.0
2025-03-04,44.8,44.8,45.01,44.72,372432.0,1668495360.0
2025-03-05,44.9,45.1,45.27,44.73,455072.0,2052374720.0
2025-03-06,45.49,46.36,46.65,45.25,1045821.0,4848426156.0
2025-03-07,46.32,46.22,46.56,46.04,481479.0,2225395938.0
2025-03-10,46.23,45.97,46.38,45.5,611283.0,2810067951.0
2025-03-11,45.43,46.22,46.22,45.32,529147.0,2445717434.0
2025-03-12,46.22,45.87,46.32,45.73,470578.0,2158541286.0
