date,open,close,high,low,volume,amount
2024-12-20,990.06,1011.21,1024.72,989.41,9476242.95,48167256394.919685
2024-12-23,1011.19,998.61,1025.81,996.89,8787624.26,44110477307.71485
2024-12-24,1002.5,1014.02,1015.87,991.3,6766240.72,34488025634.5326
2024-12-25,1018.57,1017.36,1024.95,1009.71,6963058.01,35608119514.86246
2024-12-26,1014.07,1027.02,1030.67,1010.94,7254163.93,37449035241.98685
2024-12-27,1026.71,1018.58,1044.15,1016.98,8452292.94,43275695093.11115
2024-12-30,1014.78,1020.63,1031.46,1011.1,6874282.91,35267128357.03611
2024-12-31,1020.52,988.93,1021.41,988.93,7291412.42,36245290321.78465
2025-01-02,986.82,955.33,986.82,945.45,7463455.56,35839978011.505615
2025-01-03,955.72,941.82,963.23,941.25,6029273.67,28543503143.5056
2025-01-06,943.76,938.71,949.59,931.0,4947653.89,23345604451.864883
2025-01-07,938.6,965.53,966.07,936.65,5607802.32,27216535139.28545
2025-01-08,956.71,965.12,976.62,937.82,6176724.16,29964972943.402016
2025-01-09,962.23,961.44,972.47,960.54,5458853.78,26381410732.154453
2025-01-10,962.22,950.59,980.75,950.59,6531860.2,31210770460.123
2025-01-13,938.38,952.19,955.08,936.78,5182653.63,24805624675.52826
2025-01-14,958.49,981.78,984.03,946.63,7176697.91,35417117629.489
2025-01-15,976.13,977.66,988.86,970.82,6572546.31,32299505168.38493
2025-01-16,982.09,956.4,991.9,954.15,7474260.43,35932063699.01861
2025-01-17,949.84,965.9,977.81,947.84,6647670.47,32275725736.753094
2025-01-20,969.84,968.27,978.22,962.4,5655719.26,27526987604.3355
2025-01-21,973.91,976.3,980.15,964.86,6415707.62,31484892909.097214
2025-01-22,972.21,975.34,980.41,967.67,5477721.68,26855322068.11787
2025-01-23,987.26,966.11,994.77,966.11,6628418.22,32189249205.90224
2025-01-24,966.09,974.83,980.43,966.09,5455819.53,26733957258.126938
2025-01-27,972.19,955.09,975.96,954.9,5341055.84,25641639125.1582
2025-02-05,989.12,982.83,989.53,974.99,7878300.14,38921116845.44661
2025-02-06,977.02,1011.22,1012.88,975.37,9018979.26,45843461883.08527
2025-02-07,1011.06,1018.8,1035.17,1003.24,10436939.29,53448615606.54391
2025-02-10,1023.02,1036.77,1038.02,1018.37,8218048.21,42827771206.08904
2025-02-11,1034.95,1024.41,1038.6,1018.39,7222297.78,37189776406.91057
2025-02-12,1026.87,1041.14,1042.13,1021.57,8170072.54,42757215236.20401
2025-02-13,1040.42,1017.09,1041.98,1016.23,7066338.08,36126689258.46459
2025-02-14,1012.61,1022.46,1024.96,1008.28,7301721.73,37527183601.74856
2025-02-17,1030.86,1037.31,1039.75,1026.89,7969161.74,41552348354.15613
2025-02-18,1034.63,1011.17,1036.5,1006.94,7837464.91,39835855921.93613
2025-02-19,1010.67,1034.57,1035.06,1010.37,9609046.89,49970599616.515686
2025-02-20,1034.79,1033.09,1041.62,1025.92,8316918.95,43189183555.4016
2025-02-21,1042.4,1094.77,1098.6,1038.85,12631891.68,69512938568.02602
2025-02-24,1093.03,1100.05,1110.06,1084.57,10077046.69,55721149030.33049
2025-02-25,1083.94,1102.9,1119.3,1079.49,9926744.42,55032259515.81682
2025-02-26,1108.58,1126.82,1129.63,1093.27,11777277.72,66707371806.9327
2025-02-27,1127.25,1126.29,1140.37,1101.52,10598242.13,60000992290.09921
2025-02-28,1118.52,1078.8,1123.56,1076.01,11002781.72,59664746854.14093
2025-03-03,1079.64,1062.35,1087.72,1055.77,8962839.15,47861641788.44462
2025-03-04,1052.47,1080.66,1088.53,1050.25,8109146.21,44049255731.91312
2025-03-05,1081.1,1083.82,1090.47,1072.06,7153384.29,38971137725.89935
2025-03-06,1100.44,1121.58,1125.64,1099.72,9563054.94,53913965263.74359
2025-03-07,1113.84,1107.62,1120.98,1102.61,8072358.65,44943367038.31185
2025-03-10,1107.31,1105.16,1111.74,1088.34,7400800.48,41112910344.39124
2025-03-11,1086.38,1100.74,1102.91,1085.46,6881114.74,38073071602.51769
2025-03-12,1107.96,1092.71,1112.16,1092.67,6586258.2,36175791102.14596
2025-03-13,1093.59,1069.7,1094.89,1064.25,7234027.21,38897035307.096176
2025-03-14,1070.8,1088.11,1089.26,1069.01,7303539.08,39946664892.824585
2025-03-17,1090.0,1083.21,1090.11,1077.49,6401706.01,34856417905.28968
2025-03-18,1087.34,1089.83,1103.48,1087.34,6479306.05,35494545565.43364
2025-03-19,1084.9,1076.94,1089.63,1075.1,5410794.08,29290506483.48944
2025-03-20,1075.13,1064.79,1076.37,1064.25,5090898.78,27247884729.06448
2025-03-21,1063.33,1042.89,1065.41,1036.37,6215120.87,32580852937.27665
2025-03-24,1042.33,1045.94,1048.17,1029.91,5958455.76,31326715183.1146
2025-03-25,1045.85,1031.7,1049.31,1028.54,5034329.23,26107747966.978287
2025-03-26,1029.81,1029.05,1040.22,1028.8,4228901.73,21874515247.03004
2025-03-27,1028.69,1040.57,1053.22,1026.2,5310085.1,27774557552.76577
2025-03-28,1037.76,1029.48,1044.92,1029.46,4253169.68,22009237171.91366
2025-03-31,1024.26,1022.71,1031.34,1011.97,5109654.4,26267479179.12336
2025-04-01,1027.96,1024.38,1037.32,1022.78,5082442.61,26170254217.50551
2025-04-02,1021.82,1022.75,1030.91,1020.38,3548016.8,18240196937.55694
2025-04-03,1011.6,1018.07,1030.55,1011.6,4636223.67,23725555372.48926
2025-04-07,960.49,924.17,982.77,877.71,11689397.92,54302318988.936005
2025-04-08,932.24,940.09,950.74,923.67,8946768.93,42277570379.97625
2025-04-09,922.86,980.57,992.34,917.35,9253875.97,45611740389.89064
2025-04-10,1003.68,991.22,1006.15,985.71,6985864.29,34806837702.04072
2025-04-11,990.83,1011.71,1027.54,987.83,7564116.66,38467027529.5246
2025-04-14,1018.26,1014.28,1025.44,1006.17,5538086.71,28235272306.12573
2025-04-15,1011.67,1006.34,1012.02,995.82,4102085.46,20750272605.299545
2025-04-16,1016.76,1014.51,1017.14,996.4,4615820.74,23538546066.577995
2025-04-17,1007.63,1016.81,1024.04,1006.77,3748532.89,19159117538.58514
2025-04-18,1011.51,1008.6,1012.93,1003.43,3000959.71,15214353261.104958
