date,open,close,high,low,volume,amount
2025-01-02,1444.42,1408.42,1444.91,1400.42,50029,7490883773.0
2025-01-03,1414.92,1395.42,1415.41,1387.43,32628,4836610288.0
2025-01-06,1373.42,1360.42,1383.08,1353.22,44255,6392479712.0
2025-01-07,1365.08,1360.62,1372.31,1359.42,24221,3494634227.0
2025-01-08,1360.42,1362.92,1372.24,1347.08,35258,5071821246.0
2025-01-09,1369.41,1364.42,1385.0,1353.4,29706,4295852736.0
2025-01-10,1367.52,1356.42,1372.37,1356.42,21872,3154677598.0
2025-01-13,1345.42,1364.4,1364.86,1342.43,21083,3030806870.0
2025-01-14,1365.37,1392.92,1399.1,1362.42,30957,4535651504.0
2025-01-15,1387.42,1391.69,1395.02,1380.43,18399,2701518712.0
2025-01-16,1394.42,1366.8,1403.08,1362.42,26342,3840411437.0
2025-01-17,1366.81,1375.17,1381.42,1366.8,18309,2663227309.0
2025-01-20,1381.42,1395.22,1410.21,1380.42,31410,4647626351.0
2025-01-21,1401.42,1388.57,1402.42,1385.42,16856,2481821229.0
2025-01-22,1383.69,1361.42,1388.37,1358.42,28294,4088101682.0
2025-01-23,1370.39,1363.42,1388.42,1358.42,27125,3932700850.0
2025-01-24,1362.42,1356.42,1368.21,1350.73,31360,4515322685.0
2025-01-27,1357.42,1355.41,1364.39,1347.44,29356,4213534543.0
2025-02-05,1360.42,1324.22,1363.42,1322.63,40757,5753730034.0
2025-02-06,1320.43,1333.26,1342.41,1320.43,27356,3859568163.0
2025-02-07,1334.1,1356.42,1363.1,1323.83,37242,5310850624.0
2025-02-10,1358.42,1351.93,1360.42,1347.51,20840,2988101756.0
2025-02-11,1355.37,1338.42,1356.38,1336.32,23573,3348668867.0
2025-02-12,1338.42,1363.42,1365.42,1337.3,25476,3644170477.0
2025-02-13,1363.44,1385.48,1395.67,1354.93,43385,6335985851.0
2025-02-14,1385.48,1395.42,1397.42,1378.64,27100,3978694098.0
2025-02-17,1401.42,1392.04,1415.4,1387.52,32471,4804663813.0
