date,open,close,high,low,volume,amount
2024-12-16,39.902,39.282,40.162,39.152,523916.0,2058046831.2
2024-12-17,39.282,39.802,40.852,39.192,720024.0,2865839524.8
2024-12-18,40.032,39.562,40.192,39.462,454735.0,1799022607.0
2024-12-19,39.152,41.172,41.352,38.842,1084658.0,4465753917.599999
2024-12-20,41.222,40.782,41.452,40.682,614387.0,2505593063.4
2024-12-23,40.782,39.962,41.332,39.802,569719.0,2276711067.8
2024-12-24,40.062,40.902,40.952,39.752,595175.0,2434384785.0
2024-12-25,40.902,40.572,41.482,40.422,468934.0,1902559024.8
2024-12-26,40.462,41.822,41.882,40.132,905243.0,3785907274.6
2024-12-27,41.782,40.852,41.792,40.732,826370.0,3375886723.9999995
2024-12-30,40.852,41.152,41.602,40.652,585295.0,2408605984.0
2024-12-31,41.602,40.262,41.602,39.952,640873.0,2580282872.6
2025-01-02,40.09,38.71,40.26,38.33,691999.0,2745078821.72
2025-01-03,38.71,38.73,39.88,38.18,758414.0,2999349150.77
2025-01-06,38.74,38.49,39.49,38.22,477535.0,1872510845.57
2025-01-07,38.69,39.96,40.52,38.6,859222.0,3474460649.82
2025-01-08,39.64,38.65,39.7,38.35,793783.0,3121740431.49
2025-01-09,38.59,38.51,38.99,38.16,513048.0,2006498054.88
2025-01-10,38.4,37.66,38.51,37.3,698491.0,2667795341.99
2025-01-13,37.2,37.36,38.2,37.11,414231.0,1578515754.65
2025-01-14,37.64,39.11,39.12,36.9,840034.0,3247577927.86
2025-01-15,38.65,38.57,38.96,38.04,540128.0,2106706097.42
2025-01-16,38.97,38.72,39.24,38.3,426706.0,1674538754.24
2025-01-17,38.24,38.66,39.21,38.13,434593.0,1703744563.3
2025-01-20,39.36,40.29,40.67,39.35,898748.0,3663689664.2
2025-01-21,40.42,41.39,42.08,40.33,849346.0,3536767857.13
2025-01-22,41.0,39.59,41.39,39.2,1193905.0,4822425427.23
2025-01-23,40.2,39.12,40.26,39.08,698160.0,2799986340.71
2025-01-24,39.18,40.47,40.78,39.18,886929.0,3603808742.44
2025-01-27,40.25,39.69,40.72,39.6,473248.0,1915915319.09
2025-02-05,40.2,39.92,40.86,39.41,715985.0,2915141628.99
2025-02-06,39.3,41.08,41.13,39.28,876795.0,3600238475.18
2025-02-07,41.08,42.1,42.7,41.0,1090346.0,4633013766.05
2025-02-10,42.5,42.16,42.76,41.88,591800.0,2531358791.15
2025-02-11,42.18,41.73,42.47,41.38,438637.0,1855163677.62
2025-02-12,42.48,43.85,43.86,42.12,1080245.0,4727512281.39
2025-02-13,43.86,42.91,43.94,42.8,662625.0,2900819047.44
2025-02-14,42.9,43.03,43.49,42.7,424748.0,1849179113.89
2025-02-17,43.3,42.27,43.47,41.92,722703.0,3102003919.89
2025-02-18,42.21,41.59,42.68,41.43,568752.0,2425228793.81
2025-02-19,41.61,42.25,42.37,41.48,581224.0,2462531718.15
2025-02-20,42.1,43.45,43.83,42.03,835036.0,3660808373.65
2025-02-21,43.46,44.48,44.88,43.27,987271.0,4402765056.88
2025-02-24,44.48,44.4,45.64,43.85,634777.0,2867210759.06
2025-02-25,43.7,45.68,46.5,43.49,911927.0,4187616242.26
2025-02-26,45.54,44.45,45.68,44.18,670234.0,3031406283.72
2025-02-27,44.51,44.08,44.7,43.58,550014.0,2453864638.46
2025-02-28,43.82,42.65,43.95,42.5,535684.0,2339938726.64
2025-03-03,43.48,41.81,43.48,41.4,532953.0,2274783984.82
2025-03-04,41.43,41.35,41.72,40.97,466196.0,1951184570.39
2025-03-05,41.47,41.41,41.99,40.94,491781.0,2061881286.47
2025-03-06,41.65,41.87,42.45,41.65,655338.0,2784636588.88
2025-03-07,41.91,41.03,42.08,40.82,665116.0,2786193023.25
2025-03-10,40.8,40.58,41.14,40.07,721416.0,2947723361.75
2025-03-11,40.0,39.77,40.15,39.2,799444.0,3205706430.84
2025-03-12,39.73,40.05,40.46,39.06,837443.0,3374346259.74
