date,open,close,high,low,volume,amount
2024-12-20,10631.44,10646.62,10731.08,10618.79,732375378.35,922431422339.4768
2024-12-23,10650.58,10537.4,10708.82,10527.15,795687830.45,991892900599.048
2024-12-24,10548.15,10671.43,10673.34,10548.15,664977041.16,839494530494.6133
2024-12-25,10675.73,10603.1,10677.65,10544.88,667963062.36,837864720606.3976
2024-12-26,10586.96,10673.97,10692.89,10570.09,593997426.54,750065415302.8912
2024-12-27,10679.34,10659.98,10780.53,10632.53,679934587.84,857456552926.372
2024-12-30,10644.15,10671.16,10726.66,10632.74,609052769.31,768873961891.2324
2024-12-31,10668.17,10414.61,10678.77,10414.61,646653008.8,796714853215.4424
2025-01-02,10400.66,10088.06,10409.61,10006.56,681116709.37,812863814788.1421
2025-01-03,10097.93,9897.12,10139.99,9891.84,685235256.92,802300635332.3832
2025-01-06,9890.98,9885.65,9975.99,9817.75,586235482.68,685592299843.2294
2025-01-07,9860.58,9998.76,10000.34,9822.0,588919068.3,696611051773.8796
2025-01-08,9940.2,9944.64,10016.22,9731.44,683561380.45,804183548031.0193
2025-01-09,9906.91,9976.0,10021.94,9901.63,605202920.74,714243103310.3502
2025-01-10,9957.83,9795.94,10004.06,9795.94,616360985.45,714282248477.9933
2025-01-13,9697.45,9796.18,9866.36,9693.8,504800435.64,585012407759.0762
2025-01-14,9822.35,10165.17,10178.67,9788.76,690716454.95,830621270322.4128
2025-01-15,10139.78,10060.13,10147.26,10038.3,626573129.76,745699684091.1812
2025-01-16,10110.42,10101.09,10249.62,10011.17,679618813.55,812123790877.8418
2025-01-17,10059.99,10161.32,10227.71,10059.16,576214409.08,692664360270.8472
2025-01-20,10240.71,10256.4,10333.16,10225.34,587735779.77,713125029950.7465
2025-01-21,10323.12,10305.69,10325.69,10205.99,597396789.42,728330603108.7434
2025-01-22,10263.04,10225.87,10272.59,10162.0,533432300.2,645309675070.8003
2025-01-23,10323.45,10176.17,10411.47,10176.17,648078885.95,780190802075.2627
2025-01-24,10141.41,10292.73,10315.38,10141.41,589944330.15,718340267110.1079
2025-01-27,10299.97,10156.07,10329.61,10156.07,532847417.81,640202183264.469
2025-02-05,10237.71,10164.22,10241.37,10124.2,583267744.83,701343242128.9617
2025-02-06,10142.85,10393.63,10393.63,10135.15,710990134.31,874217360767.9673
2025-02-07,10410.04,10576.0,10666.74,10384.25,887206131.35,1110029642475.5232
2025-02-10,10608.61,10631.25,10645.96,10532.12,816427978.71,1026811703749.272
2025-02-11,10640.84,10557.62,10640.84,10524.01,770227173.37,961996434805.789
2025-02-12,10529.41,10708.88,10709.27,10513.23,762335904.57,965781821352.2754
2025-02-13,10691.46,10626.62,10739.51,10621.09,839330516.36,1055156221675.2832
2025-02-14,10616.02,10749.46,10760.86,10616.02,786380097.26,1000017870633.278
2025-02-17,10820.96,10791.06,10829.82,10711.43,867059291.3,1106882454892.2957
2025-02-18,10781.2,10617.26,10817.65,10577.08,842171203.44,1057794829553.1497
2025-02-19,10592.03,10772.65,10774.02,10588.49,750496631.1,956444770344.3046
2025-02-20,10765.95,10794.54,10826.38,10726.53,782577652.28,999355901769.5132
2025-02-21,10821.81,10991.37,11003.95,10806.51,907018646.75,1179387832589.3184
2025-02-24,10995.26,10983.04,11045.96,10909.37,882712324.87,1146912683529.0032
2025-02-25,10835.91,10854.5,10964.67,10815.34,812790464.27,1043703218135.38
2025-02-26,10870.73,10955.65,10955.65,10831.11,842153823.07,1091486010426.997
2025-02-27,10969.92,10927.51,10999.48,10792.08,894751208.99,1156677016931.39
2025-02-28,10861.82,10611.24,10883.83,10583.71,825580118.13,1036367923462.6492
2025-03-03,10642.18,10649.59,10803.67,10586.2,725068982.39,913483726378.0476
2025-03-04,10558.75,10679.44,10688.53,10540.42,635011280.3,802266245373.1428
2025-03-05,10686.47,10709.46,10718.69,10626.71,668283361.04,846675164959.5571
2025-03-06,10774.08,10898.75,10924.22,10759.4,820551026.81,1057963984913.5076
2025-03-07,10858.78,10843.73,10931.95,10798.19,820368124.47,1052388449193.9574
