date,open,close,high,low,volume,amount
2024-12-20,15.61,15.71,15.9,15.56,295180.0,463727780.0
2024-12-23,15.82,15.61,15.85,15.59,257319.0,401674959.0
2024-12-24,15.63,15.47,15.63,15.26,373347.0,577567809.0
2024-12-25,15.39,15.34,15.47,15.28,199894.0,306637396.0
2024-12-26,15.39,15.59,15.7,15.39,250614.0,390707226.0
2024-12-27,15.59,15.53,15.72,15.45,210910.0,327543230.0
2024-12-30,15.71,15.43,15.82,15.38,318067.0,490777381.0
2024-12-31,15.42,15.13,15.42,15.07,330839.0,500559407.0
2025-01-02,15.22,15.76,15.84,15.17,677343.0,1088838329.0
2025-01-03,15.77,16.07,16.45,15.77,867801.0,1447826508.0
2025-01-06,15.96,15.78,16.17,15.57,435705.0,710160633.0
2025-01-07,15.67,16.05,16.06,15.44,404526.0,661959494.0
2025-01-08,15.95,15.83,16.24,15.59,415881.0,681164459.0
2025-01-09,15.83,15.7,15.9,15.62,263485.0,426946506.0
2025-01-10,15.79,15.8,15.92,15.63,317658.0,516945594.0
2025-01-13,15.72,16.47,16.59,15.55,731568.0,1227532791.0
2025-01-14,16.14,16.44,16.47,16.13,500623.0,844385969.0
2025-01-15,16.5,16.2,16.57,16.0,422904.0,705026024.0
2025-01-16,16.37,16.49,16.66,16.37,526608.0,894216468.0
2025-01-17,16.61,16.68,16.87,16.5,461522.0,792527072.0
2025-01-20,16.52,16.52,16.6,16.31,319565.0,540894382.0
2025-01-21,16.76,16.92,17.18,16.7,673362.0,1173284299.0
2025-01-22,17.16,17.39,17.5,17.03,776876.0,1383713907.0
2025-01-23,17.24,17.31,17.68,17.2,504805.0,902972194.0
2025-01-24,17.5,17.43,17.56,17.11,454267.0,811419596.0
2025-01-27,17.51,17.4,17.62,17.37,369797.0,664513616.0
2025-02-05,18.11,18.91,18.97,18.1,1030086.0,1963449984.0
2025-02-06,18.91,19.07,19.32,18.85,808020.0,1579609847.0
2025-02-07,19.12,19.24,19.25,18.71,660712.0,1290570663.0
2025-02-10,19.32,19.31,19.61,18.87,606995.0,1191858326.0
2025-02-11,19.67,19.69,20.5,19.62,996368.0,2036935486.0
2025-02-12,19.29,19.39,19.57,19.17,561958.0,1114780708.0
2025-02-13,19.45,19.39,19.78,19.26,448415.0,895784583.0
2025-02-14,19.67,19.47,19.75,19.21,412859.0,820712317.0
2025-02-17,18.51,18.83,19.03,18.2,538942.0,1035759436.0
2025-02-18,18.83,19.08,19.14,18.72,375300.0,730607710.0
2025-02-19,19.37,19.24,19.56,18.98,428761.0,845497886.0
2025-02-20,19.25,19.66,19.77,19.22,496283.0,993502397.0
2025-02-21,19.58,18.98,19.67,18.93,508624.0,1003163836.0
2025-02-24,18.56,19.18,19.3,18.53,488523.0,948326961.0
2025-02-25,19.27,18.94,19.51,18.8,363465.0,712160926.0
2025-02-26,18.89,18.7,19.23,18.67,301282.0,582380111.0
2025-02-27,18.7,18.29,18.76,18.22,393617.0,745235204.0
2025-02-28,18.12,17.74,18.26,17.62,432958.0,796321038.0
2025-03-03,17.84,17.68,18.07,17.58,286386.0,523307911.0
2025-03-04,17.82,18.18,18.42,17.78,445446.0,826947480.0
2025-03-05,18.24,18.79,18.81,18.2,413438.0,789507163.0
2025-03-06,18.79,18.75,18.99,18.51,343662.0,660631296.0
2025-03-07,18.55,18.8,19.0,18.53,355966.0,686326402.0
2025-03-10,18.81,18.6,18.93,18.4,310394.0,593461796.0
2025-03-11,18.12,18.36,18.42,18.12,340930.0,639502860.0
2025-03-12,18.39,18.4,18.7,18.32,243967.0,461946581.0
2025-03-13,18.69,18.52,18.87,18.43,329431.0,629459624.0
2025-03-14,19.42,19.25,19.58,18.98,757921.0,1497270373.0
2025-03-17,19.2,18.96,19.41,18.87,349541.0,683745650.0
2025-03-18,19.12,20.44,20.65,19.12,902018.0,1859054382.0
2025-03-19,20.5,20.8,21.18,20.4,716765.0,1528827888.0
2025-03-20,21.33,21.04,21.67,21.0,741927.0,1615775804.0
2025-03-21,21.07,20.78,21.27,20.59,492337.0,1050919657.0
2025-03-24,20.46,20.43,20.78,20.22,406822.0,851544668.0
2025-03-25,20.34,20.39,20.69,20.16,335050.0,698944942.0
2025-03-26,20.51,20.12,20.6,20.02,409110.0,847881840.0
2025-03-27,20.15,20.36,20.5,19.92,334204.0,692695528.0
2025-03-28,21.19,21.16,21.31,20.44,679640.0,1456638337.0
2025-03-31,21.26,22.42,22.58,21.26,1085410.0,2449631648.0
2025-04-01,22.68,22.27,22.94,21.96,837959.0,1919338825.0
2025-04-02,22.12,21.42,22.43,21.34,653418.0,1456582755.0
2025-04-03,21.98,21.81,22.52,21.73,848295.0,1912676287.0
2025-04-07,19.62,20.72,21.52,19.62,1046173.0,2229473784.0
2025-04-08,20.65,20.79,21.36,20.13,823914.0,1747459492.0
2025-04-09,20.33,21.64,21.88,19.91,757187.0,1620916337.0
2025-04-10,21.84,23.39,23.85,21.74,1144927.0,2681138442.0
2025-04-11,24.65,25.22,25.73,24.65,1171769.0,3015515666.0
2025-04-14,24.87,27.11,27.22,24.8,1047189.0,2796527830.0
2025-04-15,26.6,27.23,27.56,26.16,874606.0,2394088726.0
2025-04-16,28.42,29.47,29.5,27.67,1026726.0,2968154301.0
2025-04-17,30.32,28.37,31.86,28.07,1734149.0,5200271735.0
2025-04-18,28.52,27.7,28.63,27.15,1025211.0,2884619771.0
2025-04-21,28.84,30.52,30.52,28.65,1024026.0,3083193013.0
2025-04-22,31.52,30.82,32.18,30.24,1562669.0,4947047887.0
2025-04-23,28.86,27.69,29.5,27.69,1770702.0,5133802751.0
2025-04-24,28.42,27.17,28.66,27.07,1032574.0,2909793695.0
2025-04-25,27.53,26.62,27.81,26.27,897027.0,2457506008.0
2025-04-28,25.86,26.2,26.4,25.73,714200.0,1893353209.0
2025-04-29,26.42,26.05,26.51,25.91,452730.0,1205515674.0
2025-04-30,25.92,25.79,26.82,25.78,595796.0,1589348646.0
2025-05-06,26.82,26.76,27.27,26.32,1073290.0,2934951864.0
2025-05-07,26.43,26.96,27.36,26.23,1072867.0,2929237475.0
2025-05-08,26.87,26.18,27.66,26.12,1009058.0,2752666968.0
2025-05-09,25.54,26.39,26.48,25.53,690783.0,1834045501.0
2025-05-12,25.4,26.0,26.08,24.65,757491.0,1975982983.0
2025-05-13,25.33,26.28,26.32,25.32,810940.0,2142840793.0
2025-05-14,25.92,25.85,26.42,25.62,534049.0,1405573942.0
2025-05-15,25.42,25.6,25.8,25.19,546549.0,1416955059.0
2025-05-16,25.91,25.55,26.12,25.46,454589.0,1190220055.0
2025-05-19,25.81,25.55,26.31,25.46,438962.0,1153684539.0
2025-05-20,25.52,25.86,26.42,25.51,552096.0,1458021111.0
2025-05-21,26.75,27.34,27.34,26.11,1242775.0,3387666047.0
2025-05-22,27.52,27.01,28.0,26.96,864827.0,2416730885.0
2025-05-23,26.62,27.88,28.3,26.42,844874.0,2346038024.0
2025-05-26,27.42,27.43,27.93,27.0,626280.0,1751177499.0
2025-05-27,27.23,26.24,27.6,26.14,609939.0,1654437359.0
2025-05-28,26.18,26.43,26.59,26.1,306919.0,822522450.0
2025-05-29,25.54,26.06,26.16,25.42,403591.0,1064029663.0
2025-05-30,26.4,25.78,26.48,25.78,296372.0,787645130.0
2025-06-03,26.8,26.96,27.71,26.44,727336.0,2007066507.0
2025-06-04,26.83,26.96,27.42,26.77,442742.0,1218069412.0
2025-06-05,27.15,26.54,27.24,26.43,389997.0,1060946819.0
2025-06-06,26.49,26.84,27.43,26.42,585434.0,1610145117.0
2025-06-09,26.22,26.35,26.54,25.78,499518.0,1327215984.0
2025-06-10,26.12,26.42,26.52,26.0,395534.0,1058393739.0
2025-06-11,26.29,26.47,26.76,26.13,346983.0,934426488.0
2025-06-12,26.82,27.3,27.47,26.52,593160.0,1631056098.0
2025-06-13,28.34,28.76,29.34,28.02,1097024.0,3187715932.0
2025-06-16,28.79,27.86,28.82,27.62,709516.0,2029819631.0
