date,open,close,high,low,volume,amount
2024-12-20,47.27,48.15,48.88,47.0,7096958.0,34171852770.0
2024-12-23,48.45,49.14,50.64,48.26,12354459.0,60709811526.0
2024-12-24,49.23,49.21,49.65,48.35,8187075.0,40288596075.0
2024-12-25,49.37,48.1,49.43,47.45,7151464.0,34398541840.0
2024-12-26,47.87,48.86,49.69,47.75,7954042.0,38863449212.0
2024-12-27,49.35,49.77,51.8,48.56,12493238.0,62178845526.00001
2024-12-30,49.93,48.87,50.15,48.56,6497378.0,31752686286.0
2024-12-31,48.95,46.56,49.0,46.56,7140892.0,33247993152.0
2025-01-02,46.5,45.34,47.0,44.98,68629.0,318080817.0
2025-01-03,45.41,45.1,46.21,44.85,49304.0,226719412.0
2025-01-06,44.94,45.53,45.94,44.37,48258.0,221156153.0
2025-01-07,45.75,45.84,46.36,44.81,49186.0,225963013.0
2025-01-08,45.75,45.53,46.08,43.81,57297.0,260786348.0
2025-01-09,45.29,45.67,46.55,45.29,42750.0,198611723.0
2025-01-10,45.06,46.34,47.59,45.06,70253.0,331370942.0
2025-01-13,45.87,46.35,47.18,45.59,49556.0,232235970.0
2025-01-14,46.54,49.31,49.82,45.83,78945.0,384910100.0
2025-01-15,49.13,48.85,49.65,48.67,52893.0,262344816.0
2025-01-16,49.24,48.68,49.97,48.08,59425.0,293690302.0
2025-01-17,48.71,49.39,49.9,48.04,54883.0,271954424.0
2025-01-20,49.71,49.15,50.41,48.82,45721.0,227808224.0
2025-01-21,49.29,50.31,50.39,48.69,67152.0,337208234.0
2025-01-22,50.3,50.61,51.01,49.58,57292.0,291279942.0
2025-01-23,51.16,49.51,51.5,49.48,62775.0,319788995.0
2025-01-24,49.36,49.29,50.1,49.13,55920.0,279686049.0
2025-01-27,49.5,49.37,50.32,49.01,58465.0,293256162.0
2025-02-05,49.85,48.94,50.13,48.55,61583.0,306578085.0
2025-02-06,48.86,50.63,50.65,48.16,88199.0,442455991.0
2025-02-07,50.77,52.5,53.49,50.52,111522.0,585149081.0
2025-02-10,52.85,53.97,55.55,52.58,123128.0,672677220.0
2025-02-11,53.69,54.4,55.14,52.25,90301.0,489963551.0
2025-02-12,54.08,54.87,55.02,53.45,68259.0,373802907.0
2025-02-13,54.85,54.15,55.55,54.05,79693.0,440021007.0
2025-02-14,53.99,53.43,54.29,52.93,70702.0,381601630.0
2025-02-17,53.1,52.83,54.25,52.16,71150.0,379312424.0
2025-02-18,52.9,51.55,53.54,51.05,54125.0,285067979.0
2025-02-19,51.66,53.45,53.64,51.54,66984.0,356708647.0
2025-02-20,53.55,53.6,54.28,52.97,56943.0,308064670.0
2025-02-21,53.63,54.66,55.5,53.61,90697.0,500032694.0
2025-02-24,56.55,56.07,56.72,54.16,110312.0,617916236.0
2025-02-25,55.43,55.74,57.24,54.93,90596.0,511750620.0
2025-02-26,55.8,57.05,58.21,54.8,100596.0,574857272.0
2025-02-27,57.05,56.13,57.16,54.77,72208.0,406589842.0
2025-02-28,55.43,53.21,56.04,53.1,81830.0,446519768.0
2025-03-03,53.35,52.64,54.53,52.35,68226.0,367715156.0
2025-03-04,52.53,55.08,55.14,52.41,91609.0,501747007.0
2025-03-05,55.03,56.49,57.41,54.75,84107.0,476837341.0
2025-03-06,57.55,61.43,62.69,56.96,130988.0,792405458.0
2025-03-07,61.36,62.24,63.3,60.86,105458.0,659656376.0
2025-03-10,62.18,62.45,63.83,60.82,91087.0,569769629.0
2025-03-11,61.84,64.66,64.93,61.41,105285.0,676836750.0
2025-03-12,66.22,63.17,67.44,62.55,97921.0,629068438.0
2025-03-13,63.17,62.45,63.5,61.55,71438.0,447684382.0
2025-03-14,62.45,63.34,63.5,61.72,68002.0,430046208.0
2025-03-17,63.36,62.1,63.75,61.83,52753.0,331099698.0
2025-03-18,62.37,63.26,64.47,61.86,59244.0,379260275.0
2025-03-19,63.02,62.21,63.24,61.91,48144.0,302696403.0
2025-03-20,62.23,60.75,62.53,60.44,55926.0,344848211.0
2025-03-21,60.05,59.92,61.25,59.53,53456.0,324363475.0
2025-03-24,60.01,59.07,61.29,57.91,53035.0,317230011.0
2025-03-25,58.92,58.91,60.21,58.43,42829.0,255073553.0
2025-03-26,58.87,60.48,61.81,58.67,75206.0,458378101.0
2025-03-27,60.25,61.57,62.91,59.69,56934.0,353047161.0
2025-03-28,61.59,61.08,62.88,60.65,53668.0,333658962.0
2025-03-31,60.35,60.64,61.41,59.46,39467.0,239699094.0
2025-04-01,61.07,60.16,61.78,60.12,46322.0,284461653.0
2025-04-02,59.89,61.58,62.43,59.67,38471.0,237719487.0
2025-04-03,61.05,58.05,62.15,57.92,75060.0,449147077.0
2025-04-07,52.3,54.05,56.05,51.03,113689.0,620109828.0
2025-04-08,54.95,52.71,55.24,51.66,77602.0,415923045.0
